Id,accident_count,street_name
42465563,3,"5th Avenue, 76th Street"
42465566,1,"5th Avenue, 77th Street"
42465568,1,"5th Avenue, 78th Street"
42465571,1,"79th Street, 5th Avenue"
42465575,0,"80th Street, 5th Avenue"
42465580,1,"5th Avenue, 81st Street"
42465583,2,"5th Avenue, 82nd Street"
42465586,0,"5th Avenue, 83rd Street"
42465590,0,"84th Street, 5th Avenue"
42465592,2,"5th Avenue, 85th Street"
42465599,3,"5th Avenue, 86th Street"
42465611,1,"5th Avenue, 87th Street"
42465615,0,"5th Avenue, 88th Street"
42465622,0,5th Avenue
42465625,1,"90th Street, 5th Avenue"
42465629,0,5th Avenue
42465632,1,"5th Avenue, 92nd Street"
42465637,0,"5th Avenue, 94th Street"
42465639,0,"4th Avenue, 5th Avenue, 95th Street"
42465649,3,"3rd Avenue, 16th Street"
42465657,4,"3rd Avenue, 17th Street"
42465660,0,"3rd Avenue, 18th Street"
42465661,1,"3rd Avenue, 19th Street"
42465664,0,"3rd Avenue, 20th Street"
42465667,0,"21st Street, 3rd Avenue"
42465671,0,"3rd Avenue, 23rd Street"
42465680,1,"3rd Avenue, 24th Street"
42465687,0,"25th Street, 3rd Avenue"
42465698,0,"3rd Avenue, 26th Street"
42465704,0,"3rd Avenue, 27th Street"
42465710,0,"3rd Avenue, 28th Street"
42465717,0,"3rd Avenue, 29th Street"
42465728,0,"30th Street, 3rd Avenue"
42465734,0,"3rd Avenue, 31st Street"
42465736,0,"3rd Avenue, 32nd Street"
42465737,0,"3rd Avenue, 33rd Street"
42465738,0,"3rd Avenue, 34th Street"
42465740,0,"3rd Avenue, 35th Street"
42465743,0,"3rd Avenue, 36th Street"
42465746,3,"3rd Avenue, 37th Street"
42465750,0,"38th Street, 3rd Avenue"
42465758,5,"3rd Avenue, 39th Street"
42465761,0,"3rd Avenue, 40th Street"
42465764,3,"3rd Avenue, 41st Street"
42465767,0,"3rd Avenue, 42nd Street"
42465770,0,"3rd Avenue, 43rd Street"
42465774,0,"3rd Avenue, 44th Street"
42465776,0,"3rd Avenue, 45th Street"
42465779,0,"3rd Avenue, 46th Street"
42465782,1,"47th Street, 3rd Avenue"
42465783,0,"3rd Avenue, 48th Street"
42465785,0,"3rd Avenue, 49th Street"
42465789,0,"3rd Avenue, 50th Street"
42465793,0,"3rd Avenue, 51st Street"
42465794,2,"3rd Avenue, 52nd Street"
42465797,2,"3rd Avenue, 53rd Street"
42465799,0,"3rd Avenue, 54th Street"
42465801,1,"3rd Avenue, 55th Street"
42465804,0,"3rd Avenue, 56th Street"
